year,Year2,Indicator,Country,Value
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Saudi Arabia,78220.3308
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),Turkey,94428.85
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),United States,5400503.5
1970,01/01/1970,Greenhouse gas emissions (kt of CO2 equivalent),South Africa,253769.713
1970,01/01/1970,Urban population,Argentina,18836987
1970,01/01/1970,Urban population,Australia,10505755
1970,01/01/1970,Urban population,Brazil,53176875
1970,01/01/1970,Urban population,Canada,16132459
1970,01/01/1970,Urban population,China,142386810
1970,01/01/1970,Urban population,Germany,56496072
1970,01/01/1970,Urban population,European Union,290265110
1970,01/01/1970,Urban population,France,36918571
1970,01/01/1970,Urban population,United Kingdom,42925829
1970,01/01/1970,Urban population,Indonesia,19596343
1970,01/01/1970,Urban population,India,109705503
1970,01/01/1970,Urban population,Italy,34592379
1970,01/01/1970,Urban population,Japan,75000056
1970,01/01/1970,Urban population,South Korea,13123306
1970,01/01/1970,Urban population,Mexico,30392017
1970,01/01/1970,Urban population,Russia,81464683
1970,01/01/1970,Urban population,Saudi Arabia,2840512
1970,01/01/1970,Urban population,Turkey,13334606
1970,01/01/1970,Urban population,United States,150922373
1970,01/01/1970,Urban population,South Africa,10551339
1971,01/01/1971,Agricultural land (sq. km),Argentina,1291540
1971,01/01/1971,Agricultural land (sq. km),Australia,4832530
1971,01/01/1971,Agricultural land (sq. km),Brazil,1996320
1971,01/01/1971,Agricultural land (sq. km),Canada,686610
1971,01/01/1971,Agricultural land (sq. km),China,3792500
1971,01/01/1971,Agricultural land (sq. km),Germany,189520
1971,01/01/1971,Agricultural land (sq. km),European Union,2020915.999
1971,01/01/1971,Agricultural land (sq. km),France,326230
1971,01/01/1971,Agricultural land (sq. km),United Kingdom,188430
1971,01/01/1971,Agricultural land (sq. km),Indonesia,383500
1971,01/01/1971,Agricultural land (sq. km),India,1778170
1971,01/01/1971,Agricultural land (sq. km),Italy,176490
1971,01/01/1971,Agricultural land (sq. km),Japan,65410
1971,01/01/1971,Agricultural land (sq. km),South Korea,22990
1971,01/01/1971,Agricultural land (sq. km),Mexico,969380
1971,01/01/1971,Agricultural land (sq. km),Russia,2216310
1971,01/01/1971,Agricultural land (sq. km),Saudi Arabia,864670
1971,01/01/1971,Agricultural land (sq. km),Turkey,383140
1971,01/01/1971,Agricultural land (sq. km),United States,4333000
1971,01/01/1971,Agricultural land (sq. km),South Africa,953900
1971,01/01/1971,CO2 emissions (kt),Argentina,88939.418
1971,01/01/1971,CO2 emissions (kt),Australia,152774.554
1971,01/01/1971,CO2 emissions (kt),Brazil,102635.663
1971,01/01/1971,CO2 emissions (kt),Canada,352607.719
1971,01/01/1971,CO2 emissions (kt),China,876633.02
1971,01/01/1971,CO2 emissions (kt),Germany,929973.202
1971,01/01/1971,CO2 emissions (kt),European Union,3846741.985
1971,01/01/1971,CO2 emissions (kt),France,462434.369
1971,01/01/1971,CO2 emissions (kt),United Kingdom,660863.073
1971,01/01/1971,CO2 emissions (kt),Indonesia,38987.544
1971,01/01/1971,CO2 emissions (kt),India,205869.047
1971,01/01/1971,CO2 emissions (kt),Italy,311588.657
1971,01/01/1971,CO2 emissions (kt),Japan,797543.164
1971,01/01/1971,CO2 emissions (kt),South Korea,58616.995
1971,01/01/1971,CO2 emissions (kt),Mexico,126339.151
1971,01/01/1971,CO2 emissions (kt),Russia,2078668.286
1971,01/01/1971,CO2 emissions (kt),Saudi Arabia,59808.77
1971,01/01/1971,CO2 emissions (kt),Turkey,47733.339
1971,01/01/1971,CO2 emissions (kt),United States,4356770.034
1971,01/01/1971,CO2 emissions (kt),South Africa,168568.323
1971,01/01/1971,Forest area (sq. km),Argentina,347930
1971,01/01/1971,Forest area (sq. km),Australia,1285410
1971,01/01/1971,Forest area (sq. km),Brazil,5467050
1971,01/01/1971,Forest area (sq. km),Canada,3482730
1971,01/01/1971,Forest area (sq. km),China,1571405.938
1971,01/01/1971,Forest area (sq. km),Germany,113000
1971,01/01/1971,Forest area (sq. km),European Union,1479241.502
1971,01/01/1971,Forest area (sq. km),France,144360
1971,01/01/1971,Forest area (sq. km),United Kingdom,27780
1971,01/01/1971,Forest area (sq. km),Indonesia,1185450
1971,01/01/1971,Forest area (sq. km),India,639390
1971,01/01/1971,Forest area (sq. km),Italy,75900
1971,01/01/1971,Forest area (sq. km),Japan,249500
1971,01/01/1971,Forest area (sq. km),South Korea,63700
1971,01/01/1971,Forest area (sq. km),Mexico,697600
1971,01/01/1971,Forest area (sq. km),Russia,8089500
1971,01/01/1971,Forest area (sq. km),Saudi Arabia,9770
1971,01/01/1971,Forest area (sq. km),Turkey,96220
1971,01/01/1971,Forest area (sq. km),United States,3024500
1971,01/01/1971,Forest area (sq. km),South Africa,92410
1971,01/01/1971,Population,Argentina,24259561
1971,01/01/1971,Population,Australia,12937000
1971,01/01/1971,Population,Brazil,97482920
1971,01/01/1971,Population,Canada,21962032
1971,01/01/1971,Population,China,841105000
1971,01/01/1971,Population,Germany,78312842
1971,01/01/1971,Population,European Union,444288192
1971,01/01/1971,Population,France,52371342
1971,01/01/1971,Population,United Kingdom,55896223
1971,01/01/1971,Population,Indonesia,117880144
1971,01/01/1971,Population,India,567868018
1971,01/01/1971,Population,Italy,54073490
1971,01/01/1971,Population,Japan,105697000
1971,01/01/1971,Population,South Korea,32882704
1971,01/01/1971,Population,Mexico,53076373
1971,01/01/1971,Population,Russia,131155000
1971,01/01/1971,Population,Saudi Arabia,6100626
1971,01/01/1971,Population,Turkey,35720599
1971,01/01/1971,Population,United States,207661000
1971,01/01/1971,Population,South Africa,22665271
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Argentina,213551.7884
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Australia,314446.149
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Brazil,968552.518
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Canada,512428.63
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),China,1914331.77
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Germany,1283784.3
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),European Union,5471160.02
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),France,629907.505
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),United Kingdom,837410.77
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Indonesia,294004.88
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),India,754018.475
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Italy,398701.797
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Japan,960481.941
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),South Korea,89248.78
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Mexico,215289.415
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Russia,2244826.89
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Saudi Arabia,94020.5889
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),Turkey,99374.045
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),United States,5440420.62
1971,01/01/1971,Greenhouse gas emissions (kt of CO2 equivalent),South Africa,250418.763
1971,01/01/1971,Urban population,Argentina,19242926
1971,01/01/1971,Urban population,Australia,10887779
1971,01/01/1971,Urban population,Brazil,55461933
1971,01/01/1971,Urban population,Canada,16710910
1971,01/01/1971,Urban population,China,145443877
1971,01/01/1971,Urban population,Germany,56645245
1971,01/01/1971,Urban population,European Union,293449371
1971,01/01/1971,Urban population,France,37424037
1971,01/01/1971,Urban population,United Kingdom,43056861
1971,01/01/1971,Urban population,Indonesia,20438059
1971,01/01/1971,Urban population,India,113522495
1971,01/01/1971,Urban population,Italy,35012585
1971,01/01/1971,Urban population,Japan,76805782
1971,01/01/1971,Urban population,South Korea,13896560
1971,01/01/1971,Urban population,Mexico,31728525
1971,01/01/1971,Urban population,Russia,82992261
1971,01/01/1971,Urban population,Saudi Arabia,3092285
1971,01/01/1971,Urban population,Turkey,13911387
1971,01/01/1971,Urban population,United States,152865492
1971,01/01/1971,Urban population,South Africa,10849639
1972,01/01/1972,Agricultural land (sq. km),Argentina,1290280
1972,01/01/1972,Agricultural land (sq. km),Australia,4844570
1972,01/01/1972,Agricultural land (sq. km),Brazil,2028370
1972,01/01/1972,Agricultural land (sq. km),Canada,686130
1972,01/01/1972,Agricultural land (sq. km),China,3838700
1972,01/01/1972,Agricultural land (sq. km),Germany,189490
1972,01/01/1972,Agricultural land (sq. km),European Union,2013938
1972,01/01/1972,Agricultural land (sq. km),France,325150
1972,01/01/1972,Agricultural land (sq. km),United Kingdom,187560
1972,01/01/1972,Agricultural land (sq. km),Indonesia,383500
1972,01/01/1972,Agricultural land (sq. km),India,1779460
1972,01/01/1972,Agricultural land (sq. km),Italy,175080
1972,01/01/1972,Agricultural land (sq. km),Japan,64840
1972,01/01/1972,Agricultural land (sq. km),South Korea,22700
1972,01/01/1972,Agricultural land (sq. km),Mexico,971500
1972,01/01/1972,Agricultural land (sq. km),Russia,2216310
1972,01/01/1972,Agricultural land (sq. km),Saudi Arabia,865170
1972,01/01/1972,Agricultural land (sq. km),Turkey,388260
1972,01/01/1972,Agricultural land (sq. km),United States,4323000
1972,01/01/1972,Agricultural land (sq. km),South Africa,951950
1972,01/01/1972,CO2 emissions (kt),Argentina,90156.862
1972,01/01/1972,CO2 emissions (kt),Australia,157486.649
1972,01/01/1972,CO2 emissions (kt),Brazil,114362.729
1972,01/01/1972,CO2 emissions (kt),Canada,381136.979
1972,01/01/1972,CO2 emissions (kt),China,931575.681
1972,01/01/1972,CO2 emissions (kt),Germany,929973.202
1972,01/01/1972,CO2 emissions (kt),European Union,3999496.06
1972,01/01/1972,CO2 emissions (kt),France,480729.032
1972,01/01/1972,CO2 emissions (kt),United Kingdom,648486.948
1972,01/01/1972,CO2 emissions (kt),Indonesia,43340.273
1972,01/01/1972,CO2 emissions (kt),India,217849.136
1972,01/01/1972,CO2 emissions (kt),Italy,328970.237
1972,01/01/1972,CO2 emissions (kt),Japan,853373.239
1972,01/01/1972,CO2 emissions (kt),South Korea,60336.818
1972,01/01/1972,CO2 emissions (kt),Mexico,132459.374
1972,01/01/1972,CO2 emissions (kt),Russia,2078668.286
1972,01/01/1972,CO2 emissions (kt),Saudi Arabia,70344.061
1972,01/01/1972,CO2 emissions (kt),Turkey,53857.229
1972,01/01/1972,CO2 emissions (kt),United States,4564952.958
1972,01/01/1972,CO2 emissions (kt),South Africa,171725.61
1972,01/01/1972,Forest area (sq. km),Argentina,347930
1972,01/01/1972,Forest area (sq. km),Australia,1285410
1972,01/01/1972,Forest area (sq. km),Brazil,5467050
1972,01/01/1972,Forest area (sq. km),Canada,3482730
1972,01/01/1972,Forest area (sq. km),China,1571405.938
1972,01/01/1972,Forest area (sq. km),Germany,113000
1972,01/01/1972,Forest area (sq. km),European Union,1479241.502
1972,01/01/1972,Forest area (sq. km),France,144360
1972,01/01/1972,Forest area (sq. km),United Kingdom,27780
1972,01/01/1972,Forest area (sq. km),Indonesia,1185450
1972,01/01/1972,Forest area (sq. km),India,639390
1972,01/01/1972,Forest area (sq. km),Italy,75900
1972,01/01/1972,Forest area (sq. km),Japan,249500
1972,01/01/1972,Forest area (sq. km),South Korea,63700
1972,01/01/1972,Forest area (sq. km),Mexico,697600
1972,01/01/1972,Forest area (sq. km),Russia,8089500
1972,01/01/1972,Forest area (sq. km),Saudi Arabia,9770
1972,01/01/1972,Forest area (sq. km),Turkey,96220
1972,01/01/1972,Forest area (sq. km),United States,3024500
1972,01/01/1972,Forest area (sq. km),South Africa,92410
1972,01/01/1972,Population,Argentina,24653175
1972,01/01/1972,Population,Australia,13177000
1972,01/01/1972,Population,Brazil,99859383
1972,01/01/1972,Population,Canada,22218463
1972,01/01/1972,Population,China,862030000
1972,01/01/1972,Population,Germany,78688452
1972,01/01/1972,Population,European Union,447081048
1972,01/01/1972,Population,France,52793138
1972,01/01/1972,Population,United Kingdom,56086065
1972,01/01/1972,Population,Indonesia,121017314
1972,01/01/1972,Population,India,581087256
1972,01/01/1972,Population,Italy,54381345
1972,01/01/1972,Population,Japan,107188000
1972,01/01/1972,Population,South Korea,33505406
1972,01/01/1972,Population,Mexico,54689943
1972,01/01/1972,Population,Russia,131909000
1972,01/01/1972,Population,Saudi Arabia,6392970
1972,01/01/1972,Population,Turkey,36587261
1972,01/01/1972,Population,United States,209896000
1972,01/01/1972,Population,South Africa,23281508
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Argentina,223912.2788
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Australia,355430.771
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Brazil,1138194.337
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Canada,497317.478
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),China,1999689.065
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Germany,1300781.18
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),European Union,5618696.692
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),France,650356.94
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),United Kingdom,822151.68
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Indonesia,733432.92
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),India,767242.36
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Italy,416781.6244
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Japan,1009126.08
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),South Korea,91340.252
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Mexico,229445.067
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Russia,2405407.75
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Saudi Arabia,121325.1278
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),Turkey,108791.1739
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),United States,5704297.25
1972,01/01/1972,Greenhouse gas emissions (kt of CO2 equivalent),South Africa,250958.915
1972,01/01/1972,Urban population,Argentina,19659181
1972,01/01/1972,Urban population,Australia,11110846
1972,01/01/1972,Urban population,Brazil,57797612
1972,01/01/1972,Urban population,Canada,16879589
1972,01/01/1972,Urban population,China,148131235
1972,01/01/1972,Urban population,Germany,56961784
1972,01/01/1972,Urban population,European Union,296970935
1972,01/01/1972,Urban population,France,37937149
1972,01/01/1972,Urban population,United Kingdom,43295638
1972,01/01/1972,Urban population,Indonesia,21515668
1972,01/01/1972,Urban population,India,118082741
1972,01/01/1972,Urban population,Italy,35369083
1972,01/01/1972,Urban population,Japan,78731730
1972,01/01/1972,Urban population,South Korea,14639182
1972,01/01/1972,Urban population,Mexico,33104916
1972,01/01/1972,Urban population,Russia,84524649
1972,01/01/1972,Urban population,Saudi Arabia,3369543
1972,01/01/1972,Urban population,Turkey,14488555
1972,01/01/1972,Urban population,United States,154531732
1972,01/01/1972,Urban population,South Africa,11158594
1973,01/01/1973,Agricultural land (sq. km),Argentina,1289020
1973,01/01/1973,Agricultural land (sq. km),Australia,4870170
1973,01/01/1973,Agricultural land (sq. km),Brazil,2058610
1973,01/01/1973,Agricultural land (sq. km),Canada,685660
1973,01/01/1973,Agricultural land (sq. km),China,3894800
1973,01/01/1973,Agricultural land (sq. km),Germany,188970
1973,01/01/1973,Agricultural land (sq. km),European Union,2006505.001
1973,01/01/1973,Agricultural land (sq. km),France,324600
1973,01/01/1973,Agricultural land (sq. km),United Kingdom,186960
1973,01/01/1973,Agricultural land (sq. km),Indonesia,383000
1973,01/01/1973,Agricultural land (sq. km),India,1787510
1973,01/01/1973,Agricultural land (sq. km),Italy,174820
1973,01/01/1973,Agricultural land (sq. km),Japan,64470
1973,01/01/1973,Agricultural land (sq. km),South Korea,22710
1973,01/01/1973,Agricultural land (sq. km),Mexico,974000
1973,01/01/1973,Agricultural land (sq. km),Russia,2216310
1973,01/01/1973,Agricultural land (sq. km),Saudi Arabia,865700
1973,01/01/1973,Agricultural land (sq. km),Turkey,387870
1973,01/01/1973,Agricultural land (sq. km),United States,4312000
1973,01/01/1973,Agricultural land (sq. km),South Africa,949900
1973,01/01/1973,CO2 emissions (kt),Argentina,94065.884
1973,01/01/1973,CO2 emissions (kt),Australia,170992.21
1973,01/01/1973,CO2 emissions (kt),Brazil,132463.041
1973,01/01/1973,CO2 emissions (kt),Canada,381621.023
1973,01/01/1973,CO2 emissions (kt),China,968542.708
1973,01/01/1973,CO2 emissions (kt),Germany,929973.202
1973,01/01/1973,CO2 emissions (kt),European Union,4203895.412
1973,01/01/1973,CO2 emissions (kt),France,516599.626
1973,01/01/1973,CO2 emissions (kt),United Kingdom,660034.331
1973,01/01/1973,CO2 emissions (kt),Indonesia,49134.133
1973,01/01/1973,CO2 emissions (kt),India,224343.393
1973,01/01/1973,CO2 emissions (kt),Italy,354320.208
1973,01/01/1973,CO2 emissions (kt),Japan,915748.909
1973,01/01/1973,CO2 emissions (kt),South Korea,73094.311
1973,01/01/1973,CO2 emissions (kt),Mexico,144292.783
1973,01/01/1973,CO2 emissions (kt),Russia,2078668.286
1973,01/01/1973,CO2 emissions (kt),Saudi Arabia,95136.648
1973,01/01/1973,CO2 emissions (kt),Turkey,59486.074
1973,01/01/1973,CO2 emissions (kt),United States,4770194.948
1973,01/01/1973,CO2 emissions (kt),South Africa,173533.441
1973,01/01/1973,Forest area (sq. km),Argentina,347930
1973,01/01/1973,Forest area (sq. km),Australia,1285410
1973,01/01/1973,Forest area (sq. km),Brazil,5467050
1973,01/01/1973,Forest area (sq. km),Canada,3482730
1973,01/01/1973,Forest area (sq. km),China,1571405.938
1973,01/01/1973,Forest area (sq. km),Germany,113000
1973,01/01/1973,Forest area (sq. km),European Union,1479241.502
1973,01/01/1973,Forest area (sq. km),France,144360
1973,01/01/1973,Forest area (sq. km),United Kingdom,27780
1973,01/01/1973,Forest area (sq. km),Indonesia,1185450
1973,01/01/1973,Forest area (sq. km),India,639390
1973,01/01/1973,Forest area (sq. km),Italy,75900
1973,01/01/1973,Forest area (sq. km),Japan,249500
1973,01/01/1973,Forest area (sq. km),South Korea,63700
1973,01/01/1973,Forest area (sq. km),Mexico,697600
1973,01/01/1973,Forest area (sq. km),Russia,8089500
1973,01/01/1973,Forest area (sq. km),Saudi Arabia,9770
1973,01/01/1973,Forest area (sq. km),Turkey,96220
1973,01/01/1973,Forest area (sq. km),United States,3024500
1973,01/01/1973,Forest area (sq. km),South Africa,92410
1973,01/01/1973,Population,Argentina,25056478
1973,01/01/1973,Population,Australia,13380000
1973,01/01/1973,Population,Brazil,102259497
1973,01/01/1973,Population,Canada,22491777
1973,01/01/1973,Population,China,881940000
1973,01/01/1973,Population,Germany,78936666
1973,01/01/1973,Population,European Union,449719264
1973,01/01/1973,Population,France,53207734
1973,01/01/1973,Population,United Kingdom,56194527
1973,01/01/1973,Population,Indonesia,124199687
1973,01/01/1973,Population,India,594770134
1973,01/01/1973,Population,Italy,54751406
1973,01/01/1973,Population,Japan,108079000
1973,01/01/1973,Population,South Korea,34103149
1973,01/01/1973,Population,Mexico,56324303
1973,01/01/1973,Population,Russia,132669000
1973,01/01/1973,Population,Saudi Arabia,6711923
1973,01/01/1973,Population,Turkey,37472336
1973,01/01/1973,Population,United States,211909000
1973,01/01/1973,Population,South Africa,23913099
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Argentina,226956.0333
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Australia,333243.563
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Brazil,1022867.644
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Canada,520459.86
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),China,2057487.38
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Germany,1364682.32
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),European Union,5899291.108
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),France,691091.495
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),United Kingdom,863336.04
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Indonesia,409241.71
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),India,773571.615
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Italy,442434.685
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Japan,1127133.34
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),South Korea,107014.039
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Mexico,241668.377
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Russia,2450946.31
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Saudi Arabia,162521.6331
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),Turkey,115255.655
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),United States,5912971.38
1973,01/01/1973,Greenhouse gas emissions (kt of CO2 equivalent),South Africa,269278.453
1973,01/01/1973,Urban population,Argentina,20084772
1973,01/01/1973,Urban population,Australia,11303156
1973,01/01/1973,Urban population,Brazil,60184827
1973,01/01/1973,Urban population,Canada,17060238
1973,01/01/1973,Urban population,China,151552570
1973,01/01/1973,Urban population,Germany,57186457
1973,01/01/1973,Urban population,European Union,300329967
1973,01/01/1973,Urban population,France,38445780
1973,01/01/1973,Urban population,United Kingdom,43470962
1973,01/01/1973,Urban population,Indonesia,22703703
