year,country,indicator,value
1963,Australia,Agricultural_land_(sq. km),4664710
1963,Brazil,Agricultural_land_(sq. km),1615110
1963,Canada,Agricultural_land_(sq. km),700810
1963,China,Agricultural_land_(sq. km),3479500
1963,German,Agricultural_land_(sq. km),194020
1963,European Union,Agricultural_land_(sq. km),2093893
1963,France,Agricultural_land_(sq. km),343540
1963,United Kingdom,Agricultural_land_(sq. km),197470
1963,Indonesia,Agricultural_land_(sq. km),385500
1963,India,Agricultural_land_(sq. km),1761540
1963,Italy,Agricultural_land_(sq. km),205100
1963,Japan,Agricultural_land_(sq. km),70200
1963,"Korea, Rep.",Agricultural_land_(sq. km),21000
1963,Mexico,Agricultural_land_(sq. km),981090
1963,Saudi Arabia,Agricultural_land_(sq. km),862120
1963,Turkey,Agricultural_land_(sq. km),373700
1963,United States,Agricultural_land_(sq. km),4414430
1963,South Africa,Agricultural_land_(sq. km),989950
1963,Argentina,CO2_Emissions(kt),50083.886
1963,Australia,CO2_Emissions(kt),101029.517
1963,Brazil,CO2_Emissions(kt),55617.389
1963,Canada,CO2_Emissions(kt),211109.19
1963,China,CO2_Emissions(kt),436695.696
1963,European Union,CO2_Emissions(kt),2763661.258
1963,France,CO2_Emissions(kt),334019.696
1963,United Kingdom,CO2_Emissions(kt),603822.888
1963,Indonesia,CO2_Emissions(kt),22783.071
1963,India,CO2_Emissions(kt),154083.673
1963,Italy,CO2_Emissions(kt),164780.312
1963,Japan,CO2_Emissions(kt),325222.563
1963,"Korea, Rep.",CO2_Emissions(kt),21103.585
1963,Mexico,CO2_Emissions(kt),66361.699
1963,Saudi Arabia,CO2_Emissions(kt),6945.298
1963,Turkey,CO2_Emissions(kt),22669.394
1963,United States,CO2_Emissions(kt),3119230.874
1963,South Africa,CO2_Emissions(kt),109826.65
1963,Argentina,Population,21488912
1963,Australia,Population,10950000
1963,Brazil,Population,78772657
1963,Canada,Population,18964000
1963,China,Population,682335000
1963,German,Population,74714353
1963,European Union,Population,420166491
1963,France,Population,48582611
1963,United Kingdom,Population,53650000
1963,Indonesia,Population,95015297
1963,India,Population,478825608
1963,Italy,Population,51252000
1963,Japan,Population,96812000
1963,"Korea, Rep.",Population,27261747
1963,Mexico,Population,41462369
1963,Russian Federation,Population,123960000
1963,Saudi Arabia,Population,4516533
1963,Turkey,Population,29531365
1963,United States,Population,189242000
1963,South Africa,Population,18423161
1963,Argentina,Urban population,16183085
1963,Australia,Urban population,9034955
1963,Brazil,Urban population,38660045
1963,Canada,Urban population,13522659
1963,China,Urban population,121162226
1963,German,Urban population,53664331
1963,European Union,Urban population,263055323
1963,France,Urban population,31433921
1963,United Kingdom,Urban population,41900114
1963,Indonesia,Urban population,14536390
1963,India,Urban population,88127853
1963,Italy,Urban population,31188380
1963,Japan,Urban population,63957880
1963,"Korea, Rep.",Urban population,8289479
1963,Mexico,Urban population,22084931
1963,Russian Federation,Urban population,69923357
1963,Saudi Arabia,Urban population,1581283
1963,Turkey,Urban population,9785808
1963,United States,Urban population,134615404
1963,South Africa,Urban population,8662570
1964,Argentina,Agricultural_land_(sq. km),1332970
1964,Australia,Agricultural_land_(sq. km),4690090
1964,Brazil,Agricultural_land_(sq. km),1660410
1964,Canada,Agricultural_land_(sq. km),702080
1964,China,Agricultural_land_(sq. km),3508000
1964,German,Agricultural_land_(sq. km),194580
1964,European Union,Agricultural_land_(sq. km),2086571.001
1964,France,Agricultural_land_(sq. km),341090
1964,United Kingdom,Agricultural_land_(sq. km),197030
1964,Indonesia,Agricultural_land_(sq. km),385500
1964,India,Agricultural_land_(sq. km),1767120
1964,Italy,Agricultural_land_(sq. km),204620
1964,Japan,Agricultural_land_(sq. km),70300
1964,"Korea, Rep.",Agricultural_land_(sq. km),21910
1964,Mexico,Agricultural_land_(sq. km),980490
1964,Saudi Arabia,Agricultural_land_(sq. km),862410
1964,Turkey,Agricultural_land_(sq. km),372920
1964,United States,Agricultural_land_(sq. km),4390120
1964,South Africa,Agricultural_land_(sq. km),977500
1964,Argentina,CO2_Emissions(kt),55727.399
1964,Australia,CO2_Emissions(kt),108979.573
1964,Brazil,CO2_Emissions(kt),56735.824
1964,Canada,CO2_Emissions(kt),237801.283
1964,China,CO2_Emissions(kt),436923.05
1964,European Union,CO2_Emissions(kt),2879590.411
1964,France,CO2_Emissions(kt),345303.055
1964,United Kingdom,CO2_Emissions(kt),608355.3
1964,Indonesia,CO2_Emissions(kt),22394.369
1964,India,CO2_Emissions(kt),150647.694
1964,Italy,CO2_Emissions(kt),175957.328
1964,Japan,CO2_Emissions(kt),359318.329
1964,"Korea, Rep.",CO2_Emissions(kt),22218.353
1964,Mexico,CO2_Emissions(kt),74278.752
1964,Saudi Arabia,CO2_Emissions(kt),7047.974
1964,Turkey,CO2_Emissions(kt),26336.394
1964,United States,CO2_Emissions(kt),3255995.306
1964,South Africa,CO2_Emissions(kt),119657.877
1964,Argentina,Population,21824425
1964,Australia,Population,11167000
1964,Brazil,Population,81064571
1964,Canada,Population,19325000
1964,China,Population,698355000
1964,German,Population,75318337
1964,European Union,Population,423850244
1964,France,Population,49230595
1964,United Kingdom,Population,54000000
1964,Indonesia,Population,97596733
1964,India,Population,488848135
1964,Italy,Population,51675350
1964,Japan,Population,97826000
1964,"Korea, Rep.",Population,27984155
1964,Mexico,Population,42771079
1964,Russian Federation,Population,125345000
1964,Saudi Arabia,Population,4677298
1964,Turkey,Population,30244261
1964,United States,Population,191889000
1964,South Africa,Population,18896307
1964,Argentina,Urban population,16552517
1964,Australia,Urban population,9245383
1964,Brazil,Urban population,40580114
1964,Canada,Urban population,13934678
1964,China,Urban population,127791981
1964,German,Urban population,54147106
1964,European Union,Urban population,267428360
1964,France,Urban population,32441977
1964,United Kingdom,Urban population,42098400
1964,Indonesia,Urban population,15169460
1964,India,Urban population,90901311
1964,Italy,Urban population,31702827
1964,Japan,Urban population,65516029
1964,"Korea, Rep.",Urban population,8779189
1964,Mexico,Urban population,23139154
1964,Russian Federation,Urban population,71815164
1964,Saudi Arabia,Urban population,1724613
1964,Turkey,Urban population,10186267
1964,United States,Urban population,137215986
1964,South Africa,Urban population,8906585
1965,Argentina,Agricultural_land_(sq. km),1317800
1965,Australia,Agricultural_land_(sq. km),4729760
1965,Brazil,Agricultural_land_(sq. km),1703950
1965,Canada,Agricultural_land_(sq. km),703370
1965,China,Agricultural_land_(sq. km),3546000
1965,German,Agricultural_land_(sq. km),195340
1965,European Union,Agricultural_land_(sq. km),2078347
1965,France,Agricultural_land_(sq. km),340010
1965,United Kingdom,Agricultural_land_(sq. km),195850
1965,Indonesia,Agricultural_land_(sq. km),385000
1965,India,Agricultural_land_(sq. km),1771770
1965,Italy,Agricultural_land_(sq. km),204400
1965,Japan,Agricultural_land_(sq. km),70040
1965,"Korea, Rep.",Agricultural_land_(sq. km),22780
1965,Mexico,Agricultural_land_(sq. km),979790
1965,Saudi Arabia,Agricultural_land_(sq. km),862620
1965,Turkey,Agricultural_land_(sq. km),372960
1965,United States,Agricultural_land_(sq. km),4358730
1965,South Africa,Agricultural_land_(sq. km),966100
1965,Argentina,CO2_Emissions(kt),58866.351
1965,Australia,CO2_Emissions(kt),120966.996
1965,Brazil,CO2_Emissions(kt),56398.46
1965,Canada,CO2_Emissions(kt),252153.921
1965,China,CO2_Emissions(kt),475972.933
1965,European Union,CO2_Emissions(kt),2977005.808
1965,France,CO2_Emissions(kt),351852.317
1965,United Kingdom,CO2_Emissions(kt),622619.93
1965,Indonesia,CO2_Emissions(kt),24689.911
1965,India,CO2_Emissions(kt),165972.087
1965,Italy,CO2_Emissions(kt),189767.25
1965,Japan,CO2_Emissions(kt),386919.838
1965,"Korea, Rep.",CO2_Emissions(kt),25005.273
1965,Mexico,CO2_Emissions(kt),75246.84
1965,Saudi Arabia,CO2_Emissions(kt),4220.717
1965,Turkey,CO2_Emissions(kt),27388.823
1965,United States,CO2_Emissions(kt),3390922.571
1965,South Africa,CO2_Emissions(kt),128260.659
1965,Argentina,Population,22159650
1965,Australia,Population,11388000
1965,Brazil,Population,83373530
1965,Canada,Population,19678000
1965,China,Population,715185000
1965,German,Population,75963695
1965,European Union,Population,427380782
1965,France,Population,49818028
1965,United Kingdom,Population,54348050
1965,Indonesia,Population,100267062
1965,India,Population,499123324
1965,Italy,Population,52112350
1965,Japan,Population,98883000
1965,"Korea, Rep.",Population,28704674
1965,Mexico,Population,44123853
1965,Russian Federation,Population,126745000
1965,Saudi Arabia,Population,4843635
1965,Turkey,Population,30972994
1965,United States,Population,194303000
1965,South Africa,Population,19384841
1965,Argentina,Urban population,16923103
1965,Australia,Urban population,9459784
1965,Brazil,Urban population,42551349
1965,Canada,Urban population,14343688
1965,China,Urban population,129348359
1965,German,Urban population,54659677
1965,European Union,Urban population,271755560
1965,France,Urban population,33413450
1965,United Kingdom,Urban population,42294196
1965,Indonesia,Urban population,15831166
1965,India,Urban population,93760316
1965,Italy,Urban population,32227841
1965,Japan,Urban population,67107937
1965,"Korea, Rep.",Urban population,9286249
1965,Mexico,Urban population,24237674
1965,Russian Federation,Urban population,73731369
1965,Saudi Arabia,Urban population,1877829
1965,Turkey,Urban population,10601127
1965,United States,Urban population,139663053
1965,South Africa,Urban population,9158950
1967,Argentina,Agricultural_land_(sq. km),1297030
1967,Australia,Agricultural_land_(sq. km),4767280
1967,Brazil,Agricultural_land_(sq. km),1795890
1967,Canada,Agricultural_land_(sq. km),701040
1967,China,Agricultural_land_(sq. km),3618000
1967,German,Agricultural_land_(sq. km),194120
1967,European Union,Agricultural_land_(sq. km),2071770.999
1967,France,Agricultural_land_(sq. km),336290
1967,United Kingdom,Agricultural_land_(sq. km),195540
1967,Indonesia,Agricultural_land_(sq. km),384500
1967,India,Agricultural_land_(sq. km),1778070
1967,Italy,Agricultural_land_(sq. km),203790
1967,Japan,Agricultural_land_(sq. km),68380
1967,"Korea, Rep.",Agricultural_land_(sq. km),23360
1967,Mexico,Agricultural_land_(sq. km),978390
1967,Saudi Arabia,Agricultural_land_(sq. km),863040
1967,Turkey,Agricultural_land_(sq. km),373000
1967,United States,Agricultural_land_(sq. km),4353070
1967,South Africa,Agricultural_land_(sq. km),961800
1967,Argentina,CO2_Emissions(kt),65543.958
1967,Australia,CO2_Emissions(kt),129265.417
1967,Brazil,CO2_Emissions(kt),66193.017
1967,Canada,CO2_Emissions(kt),281896.958
1967,China,CO2_Emissions(kt),433234.048
1967,European Union,CO2_Emissions(kt),3135494.784
1967,France,CO2_Emissions(kt),372009.816
1967,United Kingdom,CO2_Emissions(kt),592517.527
1967,Indonesia,CO2_Emissions(kt),24561.566
1967,India,CO2_Emissions(kt),172238.99
1967,Italy,CO2_Emissions(kt),234427.643
1967,Japan,CO2_Emissions(kt),489881.864
1967,"Korea, Rep.",CO2_Emissions(kt),35151.862
1967,Mexico,CO2_Emissions(kt),90101.857
1967,Saudi Arabia,CO2_Emissions(kt),25507.652
1967,Turkey,CO2_Emissions(kt),33523.714
1967,United States,CO2_Emissions(kt),3695708.943
1967,South Africa,CO2_Emissions(kt),133885.837
1967,Argentina,Population,22828869
1967,Australia,Population,11799000
1967,Brazil,Population,88035814
1967,Canada,Population,20412000
1967,China,Population,754550000
1967,German,Population,76951336
1967,European Union,Population,433861577
1967,France,Population,50775794
1967,United Kingdom,Population,54943600
1967,Indonesia,Population,105865571
1967,India,Population,520400576
1967,Italy,Population,52900500
1967,Japan,Population,100725000
1967,"Korea, Rep.",Population,30130983
1967,Mexico,Population,46956208
1967,Russian Federation,Population,128196000
1967,Saudi Arabia,Population,5195135
1967,Turkey,Population,32477992
1967,United States,Population,198712000
1967,South Africa,Population,20406864
1967,Argentina,Urban population,17669088
1967,Australia,Urban population,9852991
1967,Brazil,Urban population,46652819
1967,Canada,Urban population,15136519
1967,China,Urban population,134196718
1967,German,Urban population,55468832
1967,European Union,Urban population,279890773
1967,France,Urban population,35216567
1967,United Kingdom,Urban population,42603817
1967,Indonesia,Urban population,17248677
1967,India,Urban population,99765994
1967,Italy,Urban population,33233152
1967,Japan,Urban population,70019991
1967,"Korea, Rep.",Urban population,10537106
1967,Mexico,Urban population,26571109
1967,Russian Federation,Urban population,76812479
1967,Saudi Arabia,Urban population,2216504
1967,Turkey,Urban population,11613805
1967,United States,Urban population,144288757
1967,South Africa,Urban population,9688363
1968,Argentina,Agricultural_land_(sq. km),1292350
1968,Australia,Agricultural_land_(sq. km),4748210
1968,Brazil,Agricultural_land_(sq. km),1852230
1968,Canada,Agricultural_land_(sq. km),697430
1968,China,Agricultural_land_(sq. km),3654000
1968,German,Agricultural_land_(sq. km),192850
1968,European Union,Agricultural_land_(sq. km),2062914.001
1968,France,Agricultural_land_(sq. km),331780
1968,United Kingdom,Agricultural_land_(sq. km),194260
1968,Indonesia,Agricultural_land_(sq. km),384500
1968,India,Agricultural_land_(sq. km),1783640
1968,Italy,Agricultural_land_(sq. km),203550
1968,Japan,Agricultural_land_(sq. km),67970
1968,"Korea, Rep.",Agricultural_land_(sq. km),23430
1968,Mexico,Agricultural_land_(sq. km),977690
1968,Saudi Arabia,Agricultural_land_(sq. km),863400
1968,Turkey,Agricultural_land_(sq. km),376010
1968,United States,Agricultural_land_(sq. km),4357950
1968,South Africa,Agricultural_land_(sq. km),959900
1968,Argentina,CO2_Emissions(kt),69082.613
1968,Australia,CO2_Emissions(kt),134622.904
1968,Brazil,CO2_Emissions(kt),77421.371
1968,Canada,CO2_Emissions(kt),303539.592
1968,China,CO2_Emissions(kt),468928.626
1968,European Union,CO2_Emissions(kt),3317198.681
1968,France,CO2_Emissions(kt),384631.63
1968,United Kingdom,CO2_Emissions(kt),606969.174
1968,Indonesia,CO2_Emissions(kt),27586.841
1968,India,CO2_Emissions(kt),187336.029
1968,Italy,CO2_Emissions(kt),249495.346
1968,Japan,CO2_Emissions(kt),562565.471
1968,"Korea, Rep.",CO2_Emissions(kt),37242.052
1968,Mexico,CO2_Emissions(kt),93988.877
1968,Saudi Arabia,CO2_Emissions(kt),29104.979
1968,Turkey,CO2_Emissions(kt),36314.301
1968,United States,CO2_Emissions(kt),3831354.94
1968,South Africa,CO2_Emissions(kt),138084.552
1968,Argentina,Population,23168267
1968,Australia,Population,12009000
1968,Brazil,Population,90387079
1968,Canada,Population,20744000
1968,China,Population,774510000
1968,German,Population,77294314
1968,European Union,Population,436817143
1968,France,Population,51175508
1968,United Kingdom,Population,55211700
1968,Indonesia,Population,108779924
1968,India,Population,531513824
1968,Italy,Population,53235750
1968,Japan,Population,101061000
1968,"Korea, Rep.",Population,30838302
1968,Mexico,Population,48431972
1968,Russian Federation,Population,128928000
1968,Saudi Arabia,Population,5387828
1968,Turkey,Population,33256464
1968,United States,Population,200706000
1968,South Africa,Population,20942145
1968,Argentina,Urban population,18048312
1968,Australia,Urban population,10048170
1968,Brazil,Urban population,48781907
1968,Canada,Urban population,15487885
1968,China,Urban population,136747486
1968,German,Urban population,55765529
1968,European Union,Urban population,283626894
1968,France,Urban population,35944653
1968,United Kingdom,Urban population,42733856
1968,Indonesia,Urban population,18001990
1968,India,Urban population,102932967
1968,Italy,Urban population,33703021
1968,Japan,Urban population,71062053
1968,"Korea, Rep.",Urban population,11362681
1968,Mexico,Urban population,27805279
1968,Russian Federation,Urban population,78366306
1968,Saudi Arabia,Urban population,2405881
1968,Turkey,Urban population,12164217
1968,United States,Urban population,146463196
1968,South Africa,Urban population,9966367
1969,Argentina,Agricultural_land_(sq. km),1293020
1969,Australia,Agricultural_land_(sq. km),4789430
1969,Brazil,Agricultural_land_(sq. km),1937780
1969,Canada,Agricultural_land_(sq. km),693820
1969,China,Agricultural_land_(sq. km),3700000
1969,German,Agricultural_land_(sq. km),192540
1969,European Union,Agricultural_land_(sq. km),2062296.001
1969,France,Agricultural_land_(sq. km),331730
1969,United Kingdom,Agricultural_land_(sq. km),193800
1969,Indonesia,Agricultural_land_(sq. km),384000
1969,India,Agricultural_land_(sq. km),1777920
1969,Italy,Agricultural_land_(sq. km),202270
1969,Japan,Agricultural_land_(sq. km),66520
1969,"Korea, Rep.",Agricultural_land_(sq. km),23370
1969,Mexico,Agricultural_land_(sq. km),977090
1969,Saudi Arabia,Agricultural_land_(sq. km),863750
1969,Turkey,Agricultural_land_(sq. km),386430
1969,United States,Agricultural_land_(sq. km),4354470
1969,South Africa,Agricultural_land_(sq. km),957900
1969,Argentina,CO2_Emissions(kt),77329.696
1969,Australia,CO2_Emissions(kt),142257.598
1969,Brazil,CO2_Emissions(kt),84315.331
1969,Canada,CO2_Emissions(kt),307400.943
1969,China,CO2_Emissions(kt),577237.138
1969,European Union,CO2_Emissions(kt),3520600.659
1969,France,CO2_Emissions(kt),413259.899
1969,United Kingdom,CO2_Emissions(kt),628857.497
1969,Indonesia,CO2_Emissions(kt),33391.702
1969,India,CO2_Emissions(kt),190724.337
1969,Italy,CO2_Emissions(kt),270008.544
1969,Japan,CO2_Emissions(kt),653958.112
1969,"Korea, Rep.",CO2_Emissions(kt),42522.532
1969,Mexico,CO2_Emissions(kt),102287.298
1969,Saudi Arabia,CO2_Emissions(kt),35302.209
1969,Turkey,CO2_Emissions(kt),38807.861
1969,United States,CO2_Emissions(kt),4024748.853
1969,South Africa,CO2_Emissions(kt),143280.691
1969,Argentina,Population,23517611
1969,Australia,Population,12263000
1969,Brazil,Population,92746614
1969,Canada,Population,21028000
1969,China,Population,796025000
1969,German,Population,77909682
1969,European Union,Population,439658725
1969,France,Population,51561836
1969,United Kingdom,Population,55441750
1969,Indonesia,Population,111758563
1969,India,Population,543084336
1969,Italy,Population,53537950
1969,Japan,Population,103172000
1969,"Korea, Rep.",Population,31544266
1969,Mexico,Population,49945279
1969,Russian Federation,Population,129664000
1969,Saudi Arabia,Population,5599904
1969,Turkey,Population,34055390
1969,United States,Population,202677000
1969,South Africa,Population,21496075
1969,Argentina,Urban population,18436396
1969,Australia,Urban population,10280809
1969,Brazil,Urban population,50954990
1969,Canada,Urban population,15804855
1969,China,Urban population,139527262
1969,German,Urban population,56259360
1969,European Union,Urban population,287112635
1969,France,Urban population,36427406
1969,United Kingdom,Urban population,42833742
1969,Indonesia,Urban population,18785497
1969,India,Urban population,106238158
1969,Italy,Urban population,34152929
1969,Japan,Urban population,73357355
1969,"Korea, Rep.",Urban population,12225296
1969,Mexico,Urban population,29082637
1969,Russian Federation,Urban population,79922296
1969,Saudi Arabia,Urban population,2612635
1969,Turkey,Urban population,12737056
1969,United States,Urban population,148629124
1969,South Africa,Urban population,10254488
1970,Argentina,Agricultural_land_(sq. km),1292800
1970,Australia,Agricultural_land_(sq. km),4817870
1970,Brazil,Agricultural_land_(sq. km),1953970
1970,Canada,Agricultural_land_(sq. km),690210
1970,China,Agricultural_land_(sq. km),3746000
1970,German,Agricultural_land_(sq. km),190230
1970,European Union,Agricultural_land_(sq. km),2041680
1970,France,Agricultural_land_(sq. km),324950
1970,United Kingdom,Agricultural_land_(sq. km),188490
1970,Indonesia,Agricultural_land_(sq. km),384000
1970,India,Agricultural_land_(sq. km),1780520
1970,Italy,Agricultural_land_(sq. km),201800
1970,Japan,Agricultural_land_(sq. km),66960
1970,"Korea, Rep.",Agricultural_land_(sq. km),23240
1970,Mexico,Agricultural_land_(sq. km),976350
1970,Saudi Arabia,Agricultural_land_(sq. km),864200
1970,Turkey,Agricultural_land_(sq. km),381780
1970,United States,Agricultural_land_(sq. km),4344000
1970,South Africa,Agricultural_land_(sq. km),955900
1970,Argentina,CO2_Emissions(kt),82734.854
1970,Australia,CO2_Emissions(kt),147618.752
1970,Brazil,CO2_Emissions(kt),93761.523
1970,Canada,CO2_Emissions(kt),341485.708
1970,China,CO2_Emissions(kt),771617.474
1970,European Union,CO2_Emissions(kt),3753440.756
1970,France,CO2_Emissions(kt),439013.24
1970,United Kingdom,CO2_Emissions(kt),653063.364
1970,Indonesia,CO2_Emissions(kt),35822.923
1970,India,CO2_Emissions(kt),195143.072
1970,Italy,CO2_Emissions(kt),296740.974
1970,Japan,CO2_Emissions(kt),768823.22
1970,"Korea, Rep.",CO2_Emissions(kt),53783.889
1970,Mexico,CO2_Emissions(kt),114073.036
1970,Saudi Arabia,CO2_Emissions(kt),45291.117
1970,Turkey,CO2_Emissions(kt),42639.876
1970,United States,CO2_Emissions(kt),4328904.501
1970,South Africa,CO2_Emissions(kt),149763.947
1970,Argentina,Population,23880561
1970,Australia,Population,12507000
1970,Brazil,Population,95113265
1970,Canada,Population,21324000
1970,China,Population,818315000
1970,German,Population,78169289
1970,European Union,Population,441986158
1970,France,Population,51957738
1970,United Kingdom,Population,55663250
1970,Indonesia,Population,114793178
1970,India,Population,555189792
1970,Italy,Population,53821850
1970,Japan,Population,104345000
1970,"Korea, Rep.",Population,32240827
1970,Mexico,Population,51493565
1970,Russian Federation,Population,130404000
1970,Saudi Arabia,Population,5836389
1970,Turkey,Population,34876303
1970,United States,Population,205052000
1970,South Africa,Population,22069776
1970,Argentina,Greenhouse_gas_emissions_(kt_of_CO2 equivalent),221957.023
1970,Australia,Greenhouse_gas_emissions_(kt_of_CO2 equivalent),319036.599
1970,Brazil,Greenhouse_gas_emissions_(kt_of_CO2 equivalent),1260982.146
1970,Canada,Greenhouse_gas_emissions_(kt_of_CO2 equivalent),494973.635
1970,China,Greenhouse_gas_emissions_(kt_of_CO2 equivalent),1873971.675
1970,German,Greenhouse_gas_emissions_(kt_of_CO2 equivalent),1286569.85
1970,European Union,Greenhouse_gas_emissions_(kt_of_CO2 equivalent),5435016.121
