Country,Sector,Indicator,Definition,Unit,References
Canada,Electricity,Electricity emissions intensity,CO2 emissions per unit electricity produced,gCO2 / kWh,"CO2 emissions from electricity:
Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-2.html#tab10

Electricity generation:
Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-2.html#tab10
"
Canada,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,"Electricity generation:
Second Biennial Report (2016), Link: http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/canadas_2nd_biennial_report.pdf "
Canada,Electricity,Renewable energy generation (index),Renewable energy generation (indexed to base year),1990 value normalised to 1,"Electricity generation:
Second Biennial Report (2016), Link: http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/canadas_2nd_biennial_report.pdf 

1990 data from IEA Energy Balances (2017)"
Canada,Transport: Road,Modal split,Modal split,% private cars and motorcycles,"ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/transportation-roadmap"
Canada,Transport: Road,Road transport emissions intensity,CO2 emission per vehicle kilometre,kg CO2 / vkm,"ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/transportation-roadmap"
Canada,Transport: Aviation,Aviation activity,Passenger flux per capita,pkm / cap,"Aviation activity
ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/transportation-roadmap
Population
Historical data (till 2015) from United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. 

Projections from Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-4.html"
Canada,Buildings,Buildings activity (commercial),Commercial building area per capita,m² / cap,"Commercial building area:
Environment and Climate Change Canada (2016), Link: 
https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-2.html#tab10

Population: 
Historical data (till 2015) from United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. 

Projections from Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-4.html"
Canada,Buildings,Buildings emissions intensity (commercial),CO2 emissions per commercial building area,kg CO2 / m²,"Commercial sector CO2 emissions:
Environment and Climate Change Canada (2016), Link: 
https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-2.html#tab10

Commercial building area:
Environment and Climate Change Canada (2016), Link: 
https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-2.html#tab10"
Canada,Buildings,Buildings emissions intensity (per capita),Total building CO2 emissions per capita,t CO2 / cap,"Buildings emissions:
Environment and Climate Change Canada (2016), Link: 
https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-2.html#tab10

Population: 
Historical data (till 2015) from United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. 

Projections from Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-4.html
"
Canada,Forestry,Forestry activity,Forest area (indexed to base year),ha of forest (indexed to 1990),"Forest area:
Historical values and outlook from Natuiral Resources Canada (2017), Link: 
http://www.nrcan.gc.ca/forests/report/area/16397"
Canada,Agriculture,Agriculture activity (meat): consumption,Meat calorie consumption per capita,meat kcal / cap / day,"Meat consumption:
OECD-FAO (2017), Link: 
http://stats.oecd.org/viewhtml.aspx?QueryId=76858&vh=0000&vf=0&l&il=&lang=en

Population: 
Historical data (till 2015) from United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. 

Projections from Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-4.html"
Canada,Agriculture,Agriculture activity (meat): production,Meat production per capita,meat kg / cap / day,"Meat production:
OECD-FAO (2017), Link: http://stats.oecd.org/viewhtml.aspx?QueryId=76858&vh=0000&vf=0&l&il=&lang=en

Population: 
Historical data (till 2015) from United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. 

Projections from Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-4.html"
Canada,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,"Emissions:
CAT calculations based on Environment and CLimate Change Canada (2016)


Population: 
Historical data (till 2015) from United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. 

Projections from Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-4.html"
Canada,Macro,Primary energy demand per capita,Primary energy demand per capita,GJ (primary) / cap,"Primary energy demand: 
Canada's Energy Future (2017): https://apps.neb-one.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA

Population: 
Historical data (till 2015) from United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. 

Projections from Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-4.html
"
Canada,Macro,Final energy demand per capita,Final energy demand per capita,GJ (final) / cap,"Final energy demand: 
Canada's Energy Future (2017): https://apps.neb-one.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA

Population: 
Historical data (till 2015) from United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. 

Projections from Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-4.html
"
Canada,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap,"GDP:
Historical data from World Bank (2017)
Projections from Environment and Climate Change Canada (2016)

Population: 
Historical data (till 2015) from United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. 

Projections from Environment and Climate Change Canada (2016), Link: https://www.canada.ca/en/environment-climate-change/services/climate-change/publications/2016-greenhouse-gas-emissions-case/chapter-4.html

"
Canada,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),"Emissions:
CAT calculations based on Environment and Climate Change Canada (2016)

GDP:
Historical data from World Bank (2017)
Projections from Environment and Climate Change Canada (2016)"
Canada,Macro,Primary energy intensity of GDP,Primary energy demand per GDP,TJ (primary) / mln. USD2012 (PPP),"Primary energy demand: 
Canada's Energy Future (2017): https://apps.neb-one.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA

GDP:
Historical data from World Bank (2017)
Projections from Environment and Climate Change Canada (2016)
"
Canada,Macro,Final energy intensity of GDP,Final energy demand per GDP,TJ (final) / mln. USD2012 (PPP),"Final energy demand: 
Canada's Energy Future (2017): https://apps.neb-one.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA

GDP:
Historical data from World Bank (2017)
Projections from Environment and Climate Change Canada (2016)
"
Canada,Macro,Emissions intensity of energy,Energy-related CO2 emissions per unit primary energy demand,tCO2 / TJ (primary),"Energy-related CO2 emissions
IEA projections (2016)

Primary energy demand
Canada's Energy Future (2017): https://apps.neb-one.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA"
Canada,Macro,Fossil fuel share,Fossil fuels in primary energy demand,% fossil fuels,"Fossil fuels share:
Canada's Energy Future (2017): https://apps.neb-one.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA"
Canada,Macro,Coal share,Coal in primary energy demand,% coal,"Coal share:
Canada's Energy Future (2017): https://apps.neb-one.gc.ca/ftrppndc/dflt.aspx?GoCTemplateCulture=en-CA"
Chile,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"Electricity Generation:
Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). current policies scenario.
Population:
Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017)
World Bank (2018). (1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
Chile,Electricity,Electricity emissions intensity,CO2 emissions per unit electricity produced,gCO2 / kWh,"Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Current policies scenario"
Chile,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,"Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Current policies scenario"
Chile,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,"Emissions:
Climate Action Tracker (2018). Chile. Link: 
https://climateactiontracker.org/countries/chile/
Population:
Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017)
World Bank (2018). (1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
Chile,Macro,Primary energy demand per capita,Primary energy demand per capita,GJ (primary) / cap,"Energy:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017)
Population:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017)
World Bank (2018). (1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
